Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Image,Variant All Images,Image Src,Image Position,Image Alt Text,Gift Card,Status,Google Shopping / Google Product Category,Google Shopping / Gender,Cost per item
womens-apple-watch-strap-42-mm-and-44-mm,"Apple Watch® Strap, 42 Mm And 44 Mm","<p>Discover the iconic Coach Apple Watch® Strap, 42 Mm And 44 Mm handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Apple Watch® Strap, 42 Mm And 44 Mm represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, men, mens-accessories, unisex, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CE912,,shopify,100,deny,manual,25987.0,32484.0,,,,,,https://coach.scene7.com/is/image/Coach/ce912_kha_a0?$desktopProduct$,1,,,active,,unisex,20789.58
womens-apple-watch-strap-42-mm-and-44-mm,,,,,,,,Title,Default Title,,,CJ148,,shopify,100,deny,manual,12968.0,16210.0,,,,,,https://coach.scene7.com/is/image/Coach/cj148_gph_a0?$desktopProduct$,2,,,,,,10374.78
womens-apple-watch-strap-42-mm-and-44-mm,,,,,,,,Title,Default Title,,,CI990,,shopify,100,deny,manual,11358.0,14198.0,,,,,,https://coach.scene7.com/is/image/Coach/ci990_blk_a0?$desktopProduct$,3,,,,,,9086.35
womens-apple-watch-strap-42-mm-and-44-mm,,,,,,,,Title,Default Title,,,CO345,,shopify,100,deny,manual,14042.0,17552.0,,,,,,https://coach.scene7.com/is/image/Coach/co345_ss_a0?$desktopProduct$,4,,,,,,11233.73
roller-buckle-cut-to-size-reversible-belt-with-charm-18-mm-CCO15,"Roller Buckle Cut-To-Size Reversible Belt With Charm, 18 Mm","<p>Discover the iconic Coach Roller Buckle Cut-To-Size Reversible Belt With Charm, 18 Mm handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Roller Buckle Cut-To-Size Reversible Belt With Charm, 18 Mm represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, men, mens-accessories, unisex, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CCO15,,shopify,100,deny,manual,7600.0,9500.0,,,,,,https://coach.scene7.com/is/image/Coach/cco15_svxki_a0?$desktopProduct$,1,,,active,,unisex,6080.02
sun-fade-easy-t-shirt-in-organic-cotton-CDO98,Sun Fade Easy T-Shirt In Organic Cotton,"<p>Discover the iconic Coach Sun Fade Easy T-Shirt In Organic Cotton top, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the relaxed New York elegance and considered design that define Coach's ready-to-wear legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Top from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Sun Fade Easy T-Shirt In Organic Cotton represents more than a top — it's a statement in considered style. The premium fabric quality and considered tailoring showcase Coach's commitment to artisanal excellence without compromise. Whether everyday styling, casual layering, or relaxed weekend looks, this top delivers the quality and character that those who bring the same standards to everyday wear as to occasion dressing demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Top,"RudraScrapper-coach, apparel, coach, men, mens-apparel, mens-tshirts, top, unisex, women, womens-apparel, womens-topsandsportsbra",TRUE,Title,Default Title,,,CDO98,,shopify,100,deny,manual,12566.0,15708.0,,,,,,https://coach.scene7.com/is/image/Coach/cdo98_grn_a0?$desktopProduct$,1,,,active,,unisex,10052.67
womens-klare-crossbody-bag,Klare Crossbody Bag,"<p>Discover the iconic Coach Klare Crossbody Bag women's handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Klare Crossbody Bag represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CDW48,,shopify,100,deny,manual,29208.0,36510.0,,,,,,https://coach.scene7.com/is/image/Coach/cdw48_impin_a0?$desktopProduct$,1,,,active,,women,23366.43
womens-klare-crossbody-bag,,,,,,,,Title,Default Title,,,CBI97,,shopify,100,deny,manual,29208.0,36510.0,,,,,,https://coach.scene7.com/is/image/Coach/cbi97_immpl_a0?$desktopProduct$,2,,,,,,23366.43
floppy-signature-relaxed-t-shirt-CCO77,Floppy Signature Relaxed T-Shirt,"<p>Discover the iconic Coach Floppy Signature Relaxed T-Shirt top, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the relaxed New York elegance and considered design that define Coach's ready-to-wear legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Top from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Floppy Signature Relaxed T-Shirt represents more than a top — it's a statement in considered style. The premium fabric quality and considered tailoring showcase Coach's commitment to artisanal excellence without compromise. Whether everyday styling, casual layering, or relaxed weekend looks, this top delivers the quality and character that those who bring the same standards to everyday wear as to occasion dressing demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Top,"RudraScrapper-coach, apparel, coach, men, mens-apparel, mens-tshirts, top, unisex, women, womens-apparel, womens-topsandsportsbra",TRUE,Title,Default Title,,,CCO77,,shopify,100,deny,manual,8372.0,10465.0,,,,,,https://coach.scene7.com/is/image/Coach/cco77_oyg_a0?$desktopProduct$,1,,,active,,unisex,6697.39
womens-denim-skater-shorts,Denim Skater Shorts,"<p>Discover the iconic Coach Denim Skater Shorts handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the relaxed New York elegance and considered design that define Coach's ready-to-wear legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Denim Skater Shorts represents more than a handbag — it's a statement in considered style. The premium fabric quality and considered tailoring showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, men, mens-apparel, mens-tshirts, shorts, unisex, women, womens-apparel, womens-bottomwear",TRUE,Title,Default Title,,,CAT87,,shopify,100,deny,manual,15753.0,19691.0,,,,,,https://coach.scene7.com/is/image/Coach/cat87_pin_a0?$desktopProduct$,1,,,active,,unisex,12602.69
womens-denim-skater-shorts,,,,,,,,Title,Default Title,,,CBD39,,shopify,100,deny,manual,15921.0,19901.0,,,,,,https://coach.scene7.com/is/image/Coach/cbd39_chr_a0?$desktopProduct$,2,,,,,,12736.9
restored-belted-shorts-CZ688,Restored Belted Shorts,"<p>Discover the iconic Coach Restored Belted Shorts women's handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the relaxed New York elegance and considered design that define Coach's ready-to-wear legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Restored Belted Shorts represents more than a handbag — it's a statement in considered style. The premium fabric quality and considered tailoring showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, shorts, women, womens-apparel, womens-bottomwear",TRUE,Title,Default Title,,,CZ688,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/cz688_nav_a0?$desktopProduct$,1,,,active,,women,18105.35
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,"Apple Watch® Strap, 38 Mm, 40 Mm And 41 Mm","<p>Discover the iconic Coach Apple Watch® Strap, 38 Mm, 40 Mm And 41 Mm handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Apple Watch® Strap, 38 Mm, 40 Mm And 41 Mm represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, men, mens-accessories, unisex, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CX804,,shopify,100,deny,manual,28671.0,35839.0,,,,,,https://coach.scene7.com/is/image/Coach/cx804_gld_a0?$desktopProduct$,1,,,active,,unisex,22936.96
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CEU53,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/ceu53_gld_a0?$desktopProduct$,2,,,,,,18105.35
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CX803,,shopify,100,deny,manual,28671.0,35839.0,,,,,,https://coach.scene7.com/is/image/Coach/cx803_ss_a0?$desktopProduct$,3,,,,,,22936.96
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CAY97,,shopify,100,deny,manual,14042.0,17552.0,,,,,,https://coach.scene7.com/is/image/Coach/cay97_ss_a0?$desktopProduct$,4,,,,,,11233.73
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CU317,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/cu317_rgd_a0?$desktopProduct$,5,,,,,,18105.35
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CAZ69,,shopify,100,deny,manual,15250.0,19062.0,,,,,,https://coach.scene7.com/is/image/Coach/caz69_blk_a0?$desktopProduct$,6,,,,,,12200.06
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CEU52,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/ceu52_ss_a0?$desktopProduct$,7,,,,,,18105.35
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CAZ54,,shopify,100,deny,manual,15250.0,19062.0,,,,,,https://coach.scene7.com/is/image/Coach/caz54_tn2_a0?$desktopProduct$,8,,,,,,12200.06
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CAZ53,,shopify,100,deny,manual,15250.0,19062.0,,,,,,https://coach.scene7.com/is/image/Coach/caz53_blk_a0?$desktopProduct$,9,,,,,,12200.06
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CU316,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/cu316_ss_a0?$desktopProduct$,10,,,,,,18105.35
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CAY96,,shopify,100,deny,manual,9143.0,11429.0,,,,,,https://coach.scene7.com/is/image/Coach/cay96_db8_a0?$desktopProduct$,11,,,,,,7314.77
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CY265,,shopify,100,deny,manual,12968.0,16210.0,,,,,,https://coach.scene7.com/is/image/Coach/cy265_lkh_a0?$desktopProduct$,12,,,,,,10374.78
womens-apple-watch-strap-38-mm-40-mm-and-41-mm,,,,,,,,Title,Default Title,,,CT261,,shopify,100,deny,manual,25987.0,32484.0,,,,,,https://coach.scene7.com/is/image/Coach/ct261_tt_a0?$desktopProduct$,13,,,,,,20789.58
womens-elliot-watch-32-mm-x-26-mm,"Elliot Watch, 32 Mm X 26 Mm","<p>Discover the iconic Coach Elliot Watch, 32 Mm X 26 Mm handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Elliot Watch, 32 Mm X 26 Mm represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, men, mens-accessories, unisex, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CEU48,,shopify,100,deny,manual,28671.0,35839.0,,,,,,https://coach.scene7.com/is/image/Coach/ceu48_rgd_a0?$desktopProduct$,1,,,active,,unisex,22936.96
womens-elliot-watch-32-mm-x-26-mm,,,,,,,,Title,Default Title,,,CCT17,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/cct17_b5h_a0?$desktopProduct$,2,,,,,,18105.35
womens-elliot-watch-32-mm-x-26-mm,,,,,,,,Title,Default Title,,,CEU49,,shopify,100,deny,manual,28671.0,35839.0,,,,,,https://coach.scene7.com/is/image/Coach/ceu49_blk_a0?$desktopProduct$,3,,,,,,22936.96
womens-elliot-watch-32-mm-x-26-mm,,,,,,,,Title,Default Title,,,CCU33,,shopify,100,deny,manual,25987.0,32484.0,,,,,,https://coach.scene7.com/is/image/Coach/ccu33_sad_a0?$desktopProduct$,4,,,,,,20789.58
womens-elliot-watch-32-mm-x-26-mm,,,,,,,,Title,Default Title,,,CEK41,,shopify,100,deny,manual,28671.0,35839.0,,,,,,https://coach.scene7.com/is/image/Coach/cek41_gld_a0?$desktopProduct$,5,,,,,,22936.96
womens-elliot-watch-32-mm-x-26-mm,,,,,,,,Title,Default Title,,,CCT16,,shopify,100,deny,manual,22632.0,28290.0,,,,,,https://coach.scene7.com/is/image/Coach/cct16_blk_a0?$desktopProduct$,6,,,,,,18105.35
